Observer,Date,Time,Pig,With/To,Behavior,Location,Notes,GPS,Start,Stop
AJ,9/23/22,9:01:57 AM,Thomas,No Value,Pee,,,,0,0
AJ,9/23/22,9:02:41 AM,Thomas,No Value,Wag.tail,,,,0,0
AJ,9/23/22,9:03:37 AM,Thomas,No Value,Travel,,,,0,0
AJ,9/23/22,9:04:37 AM,Thomas,Georgie,Snout.touch,,,,0,0
AJ,9/23/22,9:05:40 AM,Thomas,No Value,Rest,,,,0,0
AJ,9/23/22,9:06:44 AM,Thomas,No Value,,,,,0,1
AJ,9/23/22,9:06:58 AM,Georgie,No Value,Root,,,,1,0
AJ,9/23/22,9:07:12 AM,Georgie,No Value,Travel,,,,0,0
AJ,9/23/22,9:07:23 AM,Georgie,No Value,Drink,,,,0,0
AJ,9/23/22,9:07:52 AM,Georgie,No Value,Travel,,,,0,0
AJ,9/23/22,9:08:42 AM,Georgie,Dora,Lay.touch.consp,,,,0,0
AJ,9/23/22,9:12:09 AM,Georgie,Atlas,Rest.proxim,,,,0,0
AJ,9/23/22,9:12:22 AM,Georgie,Bates,Rest.proxim,,,,0,1
AJ,9/23/22,9:14:22 AM,Rebel,No Value,Root,,,,1,0
AJ,9/23/22,9:14:33 AM,Rebel,Eleanor,Root,,,,0,0
AJ,9/23/22,9:19:28 AM,No Value,No Value,,"0.000000,0.000000",,,0,1
AJ,9/23/22,9:21:05 AM,Atlas,Bates,Lay.touch.consp,,,,1,0
AJ,9/23/22,9:21:34 AM,Atlas,Dora,Rest.proxim,,,,0,0
AJ,9/23/22,9:21:46 AM,Atlas,Georgie,Rest.proxim,,,,0,0
AJ,9/23/22,9:26:15 AM,Atlas,No Value,,,,,0,1
AJ,9/23/22,9:26:28 AM,Bates,Atlas,Lay.touch.consp,,,,1,0
AJ,9/23/22,9:26:39 AM,Bates,Dora,Lay.touch.consp,,,,0,0
AJ,9/23/22,9:26:50 AM,Bates,Georgie,Rest.proxim,,,,0,0
