Observer,Date,Time,Pig,PigID,Trauma,Group,Sex,With/To,Behavior,Location,Notes,Start,Stop
NS,10/21/22,12:56:13,Raymond,16,N,B,M,No Value,Rest,"30.014891,-97.306527",,1,0
NS,10/21/22,13:01:12,Raymond,16,N,B,M,No Value,Rest,"30.014594,-97.306499",,0,1
NS,10/21/22,13:02:59,George,7,Y,B,M,No Value,Rest,"30.014635,-97.306614",,1,0
NS,10/21/22,13:08:14,George,7,Y,B,M,No Value,Rest,"30.014718,-97.306307",,0,1
NS,10/21/22,13:09:14,Molly,14,N,B,F,Pixie,Rest.proxim,"30.014763,-97.306247",,1,0
NS,10/21/22,13:14:37,Molly,14,N,B,F,Pixie,Rest.proxim,"30.014667,-97.306426",,0,1
NS,10/21/22,13:14:47,Pixie,15,N,B,F,Dahlia,Rest.proxim,"30.014584,-97.306398",,1,0
NS,10/21/22,13:19:56,Pixie,15,N,B,F,Dahlia,Rest.proxim,"30.014738,-97.306561",,0,1
NS,10/21/22,13:21:45,Willie,20,Y,B,M,Hank,Rest.proxim,"30.014579,-97.306368",,1,0
NS,10/21/22,13:27:24,Willie,20,Y,B,M,Hank,Rest.proxim,"30.015037,-97.306011",,0,1
NS,10/21/22,13:27:45,Dahlia,4,N,B,F,No Value,Rest,"30.015027,-97.306070",,1,0
NS,10/21/22,13:33:05,Dahlia,4,N,B,F,No Value,Rest,"30.015068,-97.306072",,0,1
NS,10/21/22,13:33:16,Hank,9,Y,B,M,No Value,Travel,"30.014963,-97.306067",,1,0
NS,10/21/22,13:34:24,Hank,9,Y,B,M,No Value,Pee,"30.014969,-97.306096",,0,0
NS,10/21/22,13:34:32,Hank,9,Y,B,M,No Value,Take.alt.rt,"30.014952,-97.306071",,0,0
NS,10/21/22,13:35:09,Hank,9,Y,B,M,No Value,Poop,"30.014967,-97.306065",,0,0
NS,10/21/22,13:35:59,Hank,9,Y,B,M,No Value,Drink,"30.014832,-97.306154",Puddle,0,0
NS,10/21/22,13:37:55,Hank,9,Y,B,M,No Value,Nudge.ground ,"30.014714,-97.306271",Dirt,0,0
NS,10/21/22,13:38:38,Hank,9,Y,B,M,No Value,Nudge.ground ,"30.014441,-97.306313",,0,0
NS,10/21/22,13:39:06,Hank,9,Y,B,M,No Value,Sniff.obj,"30.014689,-97.306249",Dirt,0,1
NS,10/21/22,13:51:08,Kitty,12,Y,B,F,No Value,Rest,"30.014593,-97.305797",,1,0
