Date,Time,PigName,With/To,Behavior,Behavior.cat,Location,Notes,GPS,Start,Stop,Observer
10/21/22,12:02:43 PM,Rebel,No Value,Nudge.ground,Activity,"30.014074,-97.307267",,,0,1,AJ
10/21/22,12:02:44,Horatio,No Value,Nudge.ground,Activity,"30.015123,-97.307546",Hay,,1,0,NS
10/21/22,12:02:55 PM,Bianca,No Value,Nudge.ground,Activity,"30.014705,-97.307453",,,1,0,AJ
10/21/22,12:03:48 PM,Bianca,No Value,Wag.tail,Wag.tail,"30.014718,-97.307412",,,0,0,AJ
10/21/22,12:05:50 PM,Bianca,No Value,Nudge.ground,Activity,"30.014866,-97.307411",,,0,0,AJ
10/21/22,12:06:58 PM,Bianca,No Value,Travel,Activity,"30.014841,-97.307391",,,0,0,AJ
10/21/22,12:07:15,Horatio,No Value,Nudge.ground,Activity,"30.014219,-97.307434",,,0,1,NS
10/21/22,12:07:37 PM,Bianca,No Value,Nudge.ground,Activity,"30.014842,-97.307403",,,0,1,AJ
10/21/22,12:07:53 PM,Bates,No Value,Nudge.ground,Activity,"30.014702,-97.307309",,,1,0,AJ
10/21/22,12:08:29,Atlas,No Value,Nudge.ground,Activity,"30.015123,-97.307546",,,1,0,NS
10/21/22,12:10:33 PM,Bates,No Value,Nudge.ground,Activity,"30.014823,-97.307437",,,0,1,AJ
10/21/22,12:13:16,Atlas,No Value,Nudge.ground,Activity,"30.015123,-97.307546",,,0,1,NS
